Player,Pos,Team,G,MP,PTS,TRB,AST,WS,BPM,Salary,Value_per_Million
Kyle Kuzma,PF,WAS,70.0,2281.0,24.5,7.3,4.7,0.3,-4.7,24456061.0,0.012266897764116633
Jrue Holiday,PG,BOS,69.0,2263.0,13.7,5.9,5.3,5.1,0.7,30000000.0,0.16999999999999998
Deni Avdija,SF,WAS,75.0,2257.0,17.6,8.6,4.6,5.6,2.1,15625000.0,0.3584
Devin Vassell,SG,SAS,68.0,2248.0,21.2,4.2,4.4,2.2,-1.1,29347826.0,0.07496296318507545
Luguentz Dort,SF,OKC,79.0,2246.0,13.8,4.6,1.8,5.6,0.2,16500000.0,0.33939393939393936
Max Strus,SF,CLE,70.0,2239.0,13.7,5.4,4.6,3.4,1.3,15212068.0,0.22350675792403768
Dillon Brooks,SF,HOU,72.0,2227.0,14.8,4.0,1.9,5.1,-1.4,22255493.0,0.22915690971213262
Tyrese Haliburton,PG,IND,69.0,2224.0,22.5,4.4,12.2,10.4,5.8,42176400.0,0.24658339735017687
Jalen Williams,PF,OKC,71.0,2223.0,21.9,4.6,5.2,7.8,4.0,4775760.0,1.6332479019046182
P.J. Washington,PF,2TM,73.0,2221.0,15.2,6.7,2.3,2.4,-0.9,15500000.0,0.15483870967741936
P.J. Washington,PF,CHO,44.0,1286.0,16.8,6.5,2.7,2.4,-0.9,15500000.0,0.15483870967741936
P.J. Washington,PF,DAL,29.0,935.0,13.1,6.9,1.7,2.4,-0.9,15500000.0,0.15483870967741936
Jaden Ivey,SG,DET,77.0,2217.0,19.2,4.3,4.8,1.2,0.0,7977240.0,0.1504279675677302
Ayo Dosunmu,SG,CHI,76.0,2212.0,15.0,3.5,3.9,2.5,-1.6,7000000.0,0.35714285714285715
Zion Williamson,PF,NOP,70.0,2207.0,26.1,6.6,5.7,2.5,7.0,36725670.0,0.06807227751052601
Mike Conley,PG,MIN,76.0,2193.0,14.3,3.6,7.4,5.2,1.2,9975962.0,0.5212529879323918
Jeremy Sochan,PF,SAS,74.0,2193.0,14.1,7.8,4.1,2.7,-1.2,5570040.0,0.4847361957903355
Buddy Hield,SF,2TM,84.0,2160.0,16.9,4.5,3.9,2.8,-1.0,8780488.0,0.31888888180246927
Buddy Hield,SF,IND,52.0,1336.0,16.8,4.5,3.7,2.8,-1.0,8780488.0,0.31888888180246927
Buddy Hield,SG,PHI,32.0,824.0,17.0,4.5,4.2,2.8,-1.0,8780488.0,0.31888888180246927
CJ McCollum,PG,NOP,66.0,2159.0,22.0,4.8,5.1,1.5,-1.4,33333333.0,0.04500000045
Spencer Dinwiddie,PG,2TM,76.0,2152.0,13.3,3.4,6.0,3.7,-1.6,2087519.0,1.7724389574418247
Spencer Dinwiddie,PG,BRK,48.0,1474.0,14.8,3.9,7.0,3.7,-1.6,2087519.0,1.7724389574418247
Spencer Dinwiddie,PG,LAL,28.0,678.0,10.1,2.5,3.6,3.7,-1.6,2087519.0,1.7724389574418247
Tre Jones,PG,SAS,77.0,2138.0,13.0,4.9,8.0,2.9,1.5,9104167.0,0.318535457444926
Tre Jones,PG,SAS,77.0,2138.0,13.0,4.9,8.0,1.1,-0.1,9104167.0,0.12082379420324782
Tre Jones,PG,SAS,77.0,2138.0,13.0,4.9,8.0,1.8,3.1,9104167.0,0.19771166324167824
Grant Williams,PF,2TM,76.0,2130.0,13.3,5.4,2.9,0.7,-1.6,13025250.0,0.05374177079134757
Grant Williams,PF,DAL,47.0,1242.0,11.1,4.9,2.3,0.7,-1.6,13025250.0,0.05374177079134757
Grant Williams,PF,CHO,29.0,888.0,16.3,6.0,3.8,0.7,-1.6,13025250.0,0.05374177079134757
Jaren Jackson Jr.,C,MEM,66.0,2124.0,25.2,6.2,2.6,6.4,2.3,25257798.0,0.2533870925723612
Tim Hardaway Jr.,SF,DAL,79.0,2120.0,19.3,4.3,2.4,3.5,-2.1,16193183.0,0.21614033510274044
Nic Claxton,C,BRK,71.0,2116.0,14.3,12.0,2.5,4.3,0.4,27556817.0,0.15604124380548015
Jaime Jaquez Jr.,SF,MIA,75.0,2113.0,15.1,4.9,3.3,2.3,-0.9,3685800.0,0.6240164957404091
Taurean Prince,PF,LAL,78.0,2108.0,11.9,3.9,2.0,3.5,-1.7,2087519.0,1.676631446228753
Victor Wembanyama,C,SAS,71.0,2106.0,26.0,12.9,4.7,3.8,6.5,12768960.0,0.29759667192942885
Jaden McDaniels,SF,MIN,72.0,2105.0,12.9,3.8,1.7,6.3,0.0,23017242.0,0.2737078577876533
Brandon Ingram,SF,NOP,64.0,2103.0,22.8,5.5,6.2,0.0,-0.3,36016200.0,0.0
Scottie Barnes,SG,TOR,60.0,2094.0,20.5,8.5,6.2,3.5,2.4,10130980.0,0.34547496885789925
Jusuf Nurkić,C,PHO,76.0,2078.0,14.4,14.5,5.2,1.5,-1.3,18125000.0,0.08275862068965517
Jusuf Nurkić,C,PHO,76.0,2078.0,14.4,14.5,5.2,0.5,-3.4,18125000.0,0.027586206896551724
Jusuf Nurkić,C,PHO,76.0,2078.0,14.4,14.5,5.2,1.0,1.2,18125000.0,0.05517241379310345
Myles Turner,C,IND,77.0,2076.0,22.8,9.2,1.7,4.7,0.4,19928500.0,0.23584313922272124
Collin Sexton,SG,UTA,78.0,2075.0,25.3,3.6,6.6,2.4,-0.6,18350000.0,0.1307901907356948
Cam Thomas,SG,BRK,66.0,2075.0,25.7,3.7,3.3,1.2,0.3,4041249.0,0.29693790211887466
Cade Cunningham,PG,DET,62.0,2074.0,24.4,4.7,8.1,5.9,3.9,13940809.0,0.4232179065074344
Corey Kispert,SF,WAS,80.0,2067.0,18.6,3.9,2.7,1.1,-3.7,5705887.0,0.19278334814552062
Kelly Oubre Jr.,SF,PHI,68.0,2055.0,18.4,6.0,1.8,2.6,-2.3,7983000.0,0.3256920957033697
Alperen Şengün,C,HOU,63.0,2046.0,23.4,10.4,5.5,8.3,4.4,5424654.0,1.5300515019022412
Jimmy Butler,PF,MIA,60.0,2042.0,22.0,5.6,5.3,8.7,4.9,48798677.0,0.1782835219077763
Jimmy Butler,PF,MIA,60.0,2042.0,22.0,5.6,5.3,3.7,4.8,48798677.0,0.07582172770790488
Jimmy Butler,PF,MIA,60.0,2042.0,22.0,5.6,5.3,4.9,5.0,48798677.0,0.10041255831587402
Alex Caruso,SG,CHI,71.0,2040.0,12.6,4.8,4.4,3.9,4.0,9890000.0,0.39433771486349845
Terry Rozier,SG,2TM,61.0,2040.0,21.3,4.4,6.0,1.0,-3.7,24924126.0,0.040121767960890585
Terry Rozier,SG,CHO,30.0,1065.0,23.5,4.0,6.7,1.0,-3.7,24924126.0,0.040121767960890585
Terry Rozier,PG,MIA,31.0,975.0,18.8,4.8,5.3,1.0,-3.7,24924126.0,0.040121767960890585
Keldon Johnson,SF,SAS,69.0,2038.0,19.1,6.7,3.4,3.2,-1.6,19000000.0,0.16842105263157894
Kyrie Irving,SG,DAL,58.0,2030.0,26.4,5.1,5.3,4.6,3.4,41000000.0,0.1121951219512195
Karl-Anthony Towns,PF,MIN,62.0,2026.0,24.0,9.2,3.4,10.1,3.6,49205800.0,0.2052603554865483
Jalen Suggs,SG,ORL,75.0,2025.0,16.8,4.1,3.6,1.1,0.4,9188385.0,0.11971635929491418
Keyonte George,PG,UTA,75.0,2023.0,17.3,3.8,5.9,1.1,-2.7,4084200.0,0.2693305910582244
Josh Giddey,SG,OKC,80.0,2011.0,17.7,9.2,6.9,5.3,3.0,8352367.0,0.6345506609084587
Bobby Portis,PF,MIL,82.0,2008.0,20.3,10.9,1.9,2.7,0.2,12578286.0,0.2146556375010077
Aaron Nesmith,SF,IND,72.0,1995.0,15.8,5.0,1.9,2.9,-0.5,11000000.0,0.2636363636363636
Gary Trent Jr.,SG,TOR,71.0,1994.0,17.6,3.4,2.1,3.3,-1.6,2087519.0,1.5808239350156812
Norman Powell,SG,LAC,76.0,1990.0,19.1,3.5,1.5,5.3,1.5,19241379.0,0.27544803311654537
Immanuel Quickley,SG,2TM,68.0,1985.0,21.0,4.7,6.0,2.5,2.2,32500000.0,0.07692307692307693
Immanuel Quickley,SG,NYK,30.0,720.0,22.5,3.8,3.7,2.5,2.2,32500000.0,0.07692307692307693
Immanuel Quickley,PG,TOR,38.0,1265.0,20.1,5.2,7.3,2.5,2.2,32500000.0,0.07692307692307693
Brandin Podziemski,SG,GSW,74.0,1968.0,12.5,7.8,5.0,4.2,0.7,3519960.0,1.1931953772201958
Naz Reid,PF,MIN,81.0,1964.0,20.0,7.8,1.9,5.7,1.6,13986432.0,0.4075378195096505
Caris LeVert,SG,CLE,68.0,1958.0,17.5,5.1,6.4,4.0,0.9,16615384.0,0.24074074965706482
Caris LeVert,SG,CLE,68.0,1958.0,17.5,5.1,6.4,2.3,1.2,16615384.0,0.13842593105281226
Caris LeVert,SG,CLE,68.0,1958.0,17.5,5.1,6.4,1.6,0.4,16615384.0,0.09629629986282594
Royce O'Neale,SF,2TM,79.0,1954.0,11.2,6.9,4.0,2.8,0.1,9375000.0,0.29866666666666664
Royce O'Neale,SF,BRK,49.0,1202.0,10.9,6.6,4.1,2.8,0.1,9375000.0,0.29866666666666664
Royce O'Neale,SF,PHO,30.0,752.0,11.7,7.5,3.9,2.8,0.1,9375000.0,0.29866666666666664
Jonathan Kuminga,PF,GSW,74.0,1949.0,21.9,6.6,3.0,1.9,-0.6,7636307.0,0.24881136916051172
Donovan Mitchell,SG,CLE,55.0,1942.0,27.1,5.2,6.2,7.6,3.7,35410310.0,0.21462675700946982
Trae Young,PG,ATL,54.0,1942.0,25.7,2.8,10.8,5.7,0.5,43031940.0,0.13245974966501628
